...1,Green.Space.5.mil,Green.Space.12.5.mil,Green.Space.25.mil,Temp.Redux.5.mil,Temp.Redux.12.5.mil,Temp.Redux.25.mil,BlockGroup,AvgReduxinNighttimeAnnualTemp_Celsius,PercentPopIncomeBelow2xPovertyLevel,Percent_GreenSpace,long,lat
33,62.2600559132196,62.2601877225595,92.2725243770135,0.664399978113639,0.664401939370429,1.11097043829825,371000000000,0.658896,56.9870484,62.25999832,-78.8686807,36.00045423
34,67.1400522543952,67.14014979325,67.1445082860978,0.737011873213405,0.737013324542584,0.737078176727573,371000000000,0.666354,53.19767442,67.13999939,-78.8665987,35.9872941
35,67.0200882062056,86.4251260158794,99.9898970105741,0.735226868415473,1.02396408691584,1.22580106785952,371000000000,0.778827,72.65469062,67.01999664,-78.87526444,35.9915803
36,69.7101389052551,95.2799683874629,99.9994250070266,0.77525347202669,1.15571969500621,1.22594283966232,371000000000,0.860054,81.72661871,69.70999908,-78.87609385,35.99746096
37,60.0000699776566,79.6544717183489,96.37653261067,0.630772522229007,0.92322015080653,1.17203602001528,371000000000,0.53156,78.75706215,53.91999817,-78.89059429,35.99344063
38,60.0001598266925,88.9626083945665,99.9981629226268,0.630773859137544,1.06172055053121,1.2259240604802,371000000000,0.36741,88.85350318,43.20999908,-78.88954956,35.98681091
39,63.8402658174907,99.0993124883645,99.9995665191328,0.687912707997551,1.21254961737,1.2259449452914,371000000000,0.691264,89.78032474,63.84000015,-78.89925132,35.98021488
40,60.0000975136455,84.9315264546173,98.2258235192204,0.630772931950695,1.00174007544511,1.19955254012567,371000000000,0.458997,83.50951374,48.45999908,-78.89999771,35.97339507
41,69.9700397116973,69.9700788804997,69.9707065750531,0.779120665519132,0.779121248331243,0.779130588111005,371000000000,0.819855,35.96214511,69.97000122,-78.90469176,35.9712845
42,70.380064419647,70.3803197587368,97.1968771777567,0.785221627282308,0.785225426599748,1.18424233524309,371000000000,0.797337,63.00990099,70.37999725,-78.90981025,35.96665755
43,72.0901285604713,94.7640989289478,99.9994010656619,0.810666523000711,1.14804381650384,1.22594248342683,371000000000,0.782782,80.72601556,72.08999634,-78.88946963,35.97177444
44,60.0000640588813,77.5065398831162,95.7575320472856,0.630772434160602,0.891260003667611,1.16282560245903,371000000000,0.523759,77.32831609,55.43000031,-78.88466168,35.97816905
45,60.0002134572874,90.3380138228156,99.9941452841518,0.630774657133866,1.08218589265309,1.22586428003712,371000000000,0.604256,91.07142857,55.47000122,-78.9408338,36.0012675
46,60.0000568786376,73.3467769408152,94.579807269308,0.630772327322182,0.829364819882803,1.1453016491492,371000000000,0.394118,75.10548523,42.86000061,-78.9404539,36.01267863
47,60.0000784770388,81.7792058714347,96.95950977299,0.630772648695546,0.954835128083662,1.18071042745259,371000000000,0.323652,80.45977011,32.61000061,-78.94629352,36.01023767
48,60.0000457905783,60.006633582926,92.2430512589131,0.630772162337428,0.630870185379546,1.11053189310064,371000000000,0.476014,70.84314649,50.56000137,-78.9507799,36.01076508
49,60.6702813200792,99.3309426833206,99.9995747876059,0.640744930462194,1.21599615835942,1.22594506832213,371000000000,0.651928,90.42553191,60.66999817,-78.95535577,36.00315489
50,63.7800233504616,63.7800374299126,63.7802546881235,0.687016330338502,0.687016539833663,0.687019772526748,371000000000,0.67518,0,63.77999878,-78.91566928,36.00684428
51,83.9000314203401,83.9000529742043,83.9003753382997,0.986391947293269,0.986392268003946,0.986397064619812,371000000000,0.984319,17.7916234,83.90000153,-78.88776574,36.08235058
52,88.8900375884062,88.8900759897605,88.8906880714586,1.06064073337648,1.06064130476935,1.06065041223766,371000000000,0.953767,35.4534005,88.88999939,-78.89994653,36.09986231
53,89.8400247158798,89.8400440389115,89.8403333082937,1.07477606480372,1.07477635232073,1.07478065650388,371000000000,1.103366,13.56321839,89.83999634,-78.92298932,36.07489442
54,81.830028768264,81.8300459485511,81.8303054506641,0.955591347268111,0.955591602902156,0.95559546416329,371000000000,0.935656,8.861283644,81.83000183,-78.92229571,36.09319282
55,85.5200262391561,85.5200473469508,85.5203630307388,1.01049665672789,1.01049697080127,1.01050166801752,371000000000,0.894654,17.00819672,85.51999664,-78.91851126,36.1137441
56,86.4400277902095,86.440042963191,86.4402742590953,1.02418581783505,1.02418604360139,1.02418948516831,371000000000,1.068514,3.292410714,86.44000244,-78.95766979,36.071607
57,84.5400275386609,84.5400443144974,84.5402980035102,0.995914768164191,0.995915017780214,0.995918792545336,371000000000,1.010037,7.8125,84.54000092,-78.96344471,36.08545042
58,71.220036783272107,71.2200689628528,71.2205633437259,0.797719994266647,0.797720473082649,0.797727829221791,371000000000,0.747754,30.74433657,71.22000122,-78.9183273,36.04371464
59,71.9900368407171,71.990077307049,71.9907319260952,0.809177208471145,0.809177810589844,0.809187550992538,371000000000,0.692939,36.76177837,71.98999786,-78.94187263,36.03379182
60,69.0200601713301,69.0202563437175,95.8478695594003,0.764985446984223,0.764988365930842,1.16416977927693,371000000000,0.859366,60.9375,69.01999664,-78.91864768,36.03390484
61,88.6600458526777,88.6600954978145,88.6609680136558,1.05721857183762,1.05721931053233,1.05723229312992,371000000000,1.085551,41.44775248,88.66000366,-78.9713135,36.01694508
62,72.2000404028877,72.2000944263828,72.2010885213035,0.812301956024384,0.812302759866864,0.812317551500107,371000000000,0.706876,43.20407364,72.19999695,-78.96008238,36.02069777
63,80.020033429438,80.0200684376482,80.0206141853389,0.928659525503213,0.928660046407802,0.928668166859395,371000000000,0.869305,33.04410701,80.01999664,-78.97840775,36.0477092
64,69.2900297981027,69.2900496913634,69.2903482458153,0.76900245946719,0.769002755468919,0.769007197809247,371000000000,0.682891,14.85549133,69.29000092,-78.96864847,36.03282282
65,79.5900238716886,79.590041855615,79.590312768377,0.922261199210273,0.922261466802066,0.922265497847928,371000000000,0.901471,10.78838174,79.58999634,-78.96473368,36.04130667
66,87.9400293609454,87.9400465933358,87.9403063742427,1.04650508799202,1.04650534440134,1.04650920981079,371000000000,1.087439,8.905852417,87.94000244,-78.95762662,36.05857513
67,85.4500239618129,85.4500412777539,85.4503024705597,1.00945505799219,1.00945531564469,1.00945920206249,371000000000,0.922806,9.154383243,85.44999695,-78.9453842,36.04860978
68,70.8900548767274,70.890170022778,70.9224014316816,0.79281002919543,0.792811742510842,0.793291329690546,371000000000,0.838048,55.37563048,70.88999939,-78.88613455,36.06766424
69,75.7400691195899,75.7404225233168,98.7376921951727,0.864975805727603,0.864981064197599,1.20716888899247,371000000000,0.868299,65.06666667,75.73999786,-78.8750199,36.04000198
70,78.3901060380395,92.1496420362464,99.9992403186019,0.904407024376141,1.10914201077217,1.2259400915913,371000000000,0.94696,76.30878438,78.38999939,-78.87823386,36.03365542
71,70.200071943518,70.2005738008499,99.1099172394129,0.782543429619504,0.782550897004599,1.21270741074049,371000000000,0.835505,66.7867036,70.19999695,-78.88652254,36.05059593
72,70.8900394745228,70.890082966561,70.8908038434765,0.79280980001836,0.792810447158048,0.792821173444568,371000000000,0.840033,38.48372476,70.88999939,-78.91219129,36.06013808
73,64.4300883986518,77.165675736892,99.9795930738354,0.696688971829837,0.886188116334404,1.2256477504549,371000000000,0.57332,71.62162162,64.43000031,-78.9145901,36.05021232
74,81.1200493957565,81.1201154207129,81.1215389059305,0.945027210716506,0.945028193134703,0.945049373879948,371000000000,0.926821,47.02495202,81.12000275,-78.93076679,36.06392348
75,71.7000495128987,71.7001452367215,71.7041489043936,0.804862342648369,0.804863766970785,0.80492333953533,371000000000,0.680667,52.93141593,71.69999695,-78.92392559,36.05288004
76,67.7800499683636,67.7801377715979,67.7830487145399,0.74653471782676,0.746536024294797,0.746579337664064,371000000000,0.548649,51.68674699,67.77999878,-78.93246551,36.05082383
